review,stars,app,review_clean,sentiment
klass,3,payme,klass,1
xorosho,5,payme,xorosho,1
"Qaraqalpaqstan Respublikası aymaǵında jasawshı puqaralar ushın qolaylıq jaratıw maqsetinde ""Qaraqalpaq tili"" variantinda qossańız júdá ájáyip bolar edi.",5,payme,qaraqalpaqstan respublikas aymanda jasawsh puqaralar ushn qolaylq jaratw maqsetinde qaraqalpaq tili variantinda qossaz jd jyip bolar edi,-1
"Бестолковые приложение. Я забыл что даже он есть, пока не понял что у меня по 5к в месяц берёт за мониторинг которым я вообще не пользуюсь. По мимо этого проценты высокие за платежи. Чисто денег рубят с дураков как мы. Есть аналоги бесплатные и по лучше",1,payme,бестолковые приложение я забыл что даже он есть пока не понял что у меня по к в месяц берёт за мониторинг которым я вообще не пользуюсь по мимо этого проценты высокие за платежи чисто денег рубят с дураков как мы есть аналоги бесплатные и по лучше,-1
👍👍,5,payme,,1
"дурацкое приложение. постоянно выходят ошибки, хотя к интернету подключение емть, другие приложения работают, а пэйми нет. два раза списали за 1 услугу, ошибка вышла, а деньги ушли... обратная связь не работает, операторам плевать на обращения...",1,payme,дурацкое приложение постоянно выходят ошибки хотя к интернету подключение емть другие приложения работают а пэйми нет два раза списали за услугу ошибка вышла а деньги ушли обратная связь не работает операторам плевать на обращения,-1
немогу открыть приложение для,1,payme,немогу открыть приложение для,-1
zo'r,5,payme,zor,1
super,5,payme,super,1
не работает приложение,3,payme,не работает приложение,-1
лучше мне нравится удобнее,5,payme,лучше мне нравится удобнее,1
отличное приложение,5,payme,отличное приложение,1
"почему людей обманываете,сказанно было что до 20 поездок кэшбек 100% и где я оплатил не возвращается, написанно что какой то паймиплюс за 39т надо купить и где здесь выгода простым людям",1,payme,почему людей обманываетесказанно было что до поездок кэшбек и где я оплатил не возвращается написанно что какой то паймиплюс за т надо купить и где здесь выгода простым людям,-1
это приложение лучше не использовать комиссия много берет и. так и,1,payme,это приложение лучше не использовать комиссия много берет и так и,-1
Не работает с вчерашнего дня. Что то не так?,5,payme,не работает с вчерашнего дня что то не так,-1
eng zo'ri,5,payme,eng zori,1
klasss,5,payme,klasss,1
Зўр,5,payme,зр,1
необновляется приложение тупит медлиный,2,payme,необновляется приложение тупит медлиный,1
"Payme kuyib bankrot bolib ket.Mendan besaroq, meni roziligimsz kartamdan pul yechib olishibdi. Bunga ularni nima xaqi bor, men òz mablaģlarimni qayerga sarflashni òzim hal qilmaymanmi? Kim huquq bergan bu ilovaga shaxsiy hisobga kirib pul yechib olishga.",1,payme,payme kuyib bankrot bolib ketmendan besaroq meni roziligimsz kartamdan pul yechib olishibdi bunga ularni nima xaqi bor men z mablalarimni qayerga sarflashni zim hal qilmaymanmi kim huquq bergan bu ilovaga shaxsiy hisobga kirib pul yechib olishga,-1
Ваше приложение имеет проблемы с аутентификацией лица.,1,payme,ваше приложение имеет проблемы с аутентификацией лица,-1
"по всем пунктам приложение хорошее кроме оплаты через QR. в некоторых местах хорошо читает но если мелкие QR для перевода или оплаты то вообще не берет. Большое спасибо вам. из-за таких маленьких проблем казалось бы мелочных я несколько остановок пропустил. как исправят баг, изменю свой отзыв",1,payme,по всем пунктам приложение хорошее кроме оплаты через qr в некоторых местах хорошо читает но если мелкие qr для перевода или оплаты то вообще не берет большое спасибо вам изза таких маленьких проблем казалось бы мелочных я несколько остановок пропустил как исправят баг изменю свой отзыв,1
"Мониторинг платный, я хз, как отключить мониторинг, поддержка не работает",1,payme,мониторинг платный я хз как отключить мониторинг поддержка не работает,-1
спасибо за подсказку! перезагрузила телефон и всё заработало!,5,payme,спасибо за подсказку перезагрузила телефон и всё заработало,1
👍🏻👍🏻,5,payme,,1
yuzni tanish identifikatsiyasi sifatinpasaygan 1-2 oy ichida bu ilovaga nimadur bo'votti ishlash sifati pasaygan,1,payme,yuzni tanish identifikatsiyasi sifatinpasaygan oy ichida bu ilovaga nimadur bovotti ishlash sifati pasaygan,-1
"невозможно подтвердить личность, выдаёт ошибку ""попробуйте позже"" и так уже 3 недели",1,payme,невозможно подтвердить личность выдаёт ошибку попробуйте позже и так уже недели,-1
не работает при регистрации,1,payme,не работает при регистрации,-1
qulay va onson tez,5,payme,qulay va onson tez,1
"не как не смог пройти идентификацию. как я смотрю на камеру внизу что-то пишет когда хочу читать, пишет смотрите на камеру.",2,payme,не как не смог пройти идентификацию как я смотрю на камеру внизу чтото пишет когда хочу читать пишет смотрите на камеру,-1
Дурацкий ваш пайми без вопросов сам решает что подписка вам нужна подключился один раз теперь автоматом забирает последние деньги удаляю вашу программу ставлю оценку ниже чем должно быть так ладно бы ещё работала отсрочка она уже 5 месяцев не работает техники не могу починить,1,payme,дурацкий ваш пайми без вопросов сам решает что подписка вам нужна подключился один раз теперь автоматом забирает последние деньги удаляю вашу программу ставлю оценку ниже чем должно быть так ладно бы ещё работала отсрочка она уже месяцев не работает техники не могу починить,-1
"Удалила свой аккаунт и само приложение. За что снимаете 5000 су́м? За мониторинг??? Вы серьёзно??? Сейчас практически у каждого банка есть свои приложения с такими же услугами, то есть с мониторингом, историей, кешбеком, оплатой коммунальных услуг и т.д. А чтобы использовать какие-то привелегии, нужна подписка плюс....Да зачем мне платить за то, что можно в другом приложении без всяких там плюсов и минусов?!",1,payme,удалила свой аккаунт и само приложение за что снимаете сум за мониторинг вы серьёзно сейчас практически у каждого банка есть свои приложения с такими же услугами то есть с мониторингом историей кешбеком оплатой коммунальных услуг и тд а чтобы использовать какието привелегии нужна подписка плюсда зачем мне платить за то что можно в другом приложении без всяких там плюсов и минусов,-1
"постоянно вылетает,невозможно произвести оплату",3,payme,постоянно вылетаетневозможно произвести оплату,-1
klass,5,payme,klass,1
zor ilova,5,payme,zor ilova,1
Payme yuklab oldim lekin ishlamayapti ochilmayapti hattoki,1,payme,payme yuklab oldim lekin ishlamayapti ochilmayapti hattoki,-1
Почему эту версию несмогу скачат,1,payme,почему эту версию несмогу скачат,-1
chotkiy,5,payme,chotkiy,1
"нормально,легко в пользование.",5,payme,нормальнолегко в пользование,1
почему я не могу сделать скриншот ?,1,payme,почему я не могу сделать скриншот,-1
яхши,5,payme,яхши,-1
Здравствуйте. когда восстановите услугу отсрочка платежа? выручала.,4,payme,здравствуйте когда восстановите услугу отсрочка платежа выручала,-1
rasvo ekan tolov qilaman desam foyizi juda katta ekan,1,payme,rasvo ekan tolov qilaman desam foyizi juda katta ekan,1
"Вообще никакое приложение Установила его для определённых целей. постоянно зависает начала операцию , оплачивала госуслугу, зависло, деньги а это на минуточку 300 тысяч , сняли, ждала долго, потом пришёл отказ в услуге, деньги не вернули Мужу через это приложение прорвались мошенники удаляю. никому не советую. работает через пень- колода. ещё и деньги воруют",1,payme,вообще никакое приложение установила его для определённых целей постоянно зависает начала операцию оплачивала госуслугу зависло деньги а это на минуточку тысяч сняли ждала долго потом пришёл отказ в услуге деньги не вернули мужу через это приложение прорвались мошенники удаляю никому не советую работает через пень колода ещё и деньги воруют,-1
чудесно,5,payme,чудесно,1
ummuman tavsiya bermiman uzidan uzi kartadagi pulni yechib oladi 👎👎👎👎👎👎👎👎👎👎,1,payme,ummuman tavsiya bermiman uzidan uzi kartadagi pulni yechib oladi,-1
me+ ne ponyatno kak izpolzovat keshbek ili ne rabotaet,1,payme,me ne ponyatno kak izpolzovat keshbek ili ne rabotaet,-1
приложение супер спасибо большое!!!,5,payme,приложение супер спасибо большое,1
umuman tushunib bulamayapti bularga obuna uchun majburiymi nima balo uzidan uzi kartadan yechib oladi 👎👎👎,1,payme,umuman tushunib bulamayapti bularga obuna uchun majburiymi nima balo uzidan uzi kartadan yechib oladi,-1
Как всегда супер удобно,5,payme,как всегда супер удобно,1
целый день прога не работала,2,payme,целый день прога не работала,-1
"Это приложение опасно для пользователей, несмотря на то,что 2 года назад села в лужу из-за Фаберлик я заново скачала.Мошенничеств много.Первый раз какая-то неизвестная компания украла мои деньги,сообщила в банк, он ответил надо обратиться на пэйми,написала в бот не помогли. И сегодня второй раз,меня подписали в тариф пэйми плюс,без моего разрешения,на это тоже списали деньги.😡😡😡 Если у вас нет необходимости на оплату Фаберлик,лучше не скачайте",1,payme,это приложение опасно для пользователей несмотря на точто года назад села в лужу изза фаберлик я заново скачаламошенничеств многопервый раз какаято неизвестная компания украла мои деньгисообщила в банк он ответил надо обратиться на пэйминаписала в бот не помогли и сегодня второй разменя подписали в тариф пэйми плюсбез моего разрешенияна это тоже списали деньги если у вас нет необходимости на оплату фаберликлучше не скачайте,-1
Всё удобно!,5,payme,всё удобно,1
shaq shaq огонь ))),5,payme,shaq shaq огонь,-1
assalom alaykum men plastika pul tashadim 67mingday 29ming ob quydi qaytarib bering yuqsa sutga boraman,1,payme,assalom alaykum men plastika pul tashadim mingday ming ob quydi qaytarib bering yuqsa sutga boraman,-1
ок,5,payme,ок,1
не работает,1,payme,не работает,-1
"раньше говорили много хорошего про это приложение, хотел установить это приложение. Но позвонил знакомой , она сказала ,что не стоит этого делать. Почитал отзывы и действительно , очень много негатива. Передумал устанавливать!!!",1,payme,раньше говорили много хорошего про это приложение хотел установить это приложение но позвонил знакомой она сказала что не стоит этого делать почитал отзывы и действительно очень много негатива передумал устанавливать,-1
"Тўғриси ЧИЧВОРЯПСИЛАР! Толов бўлимида доимий узилишлар,толов ўтмай осилиб қолишлари,яна майда чуйдалар.Ўчирворилар Плэй Маркетдан,одамлар овора бўлиб Мегабайт сарфлаб тортиб юрманглар.ПЭЙМИ МУСОР!!!",1,payme,триси чичворяпсилар толов блимида доимий узилишлартолов тмай осилиб олишларияна майда чуйдаларчирворилар плэй маркетданодамлар овора блиб мегабайт сарфлаб тортиб юрмангларпэйми мусор,-1
ужасно,1,payme,ужасно,-1
комиссия а**ная а без комиссии плюс надо купить если не заплатишь на плюс они сами снимут,1,payme,комиссия аная а без комиссии плюс надо купить если не заплатишь на плюс они сами снимут,-1
it's so Beautiful,5,payme,its so beautiful,1
payme plus,1,payme,payme plus,-1
"пользуюсь давно, очень нравится",5,payme,пользуюсь давно очень нравится,1
foiz stavka owibdi perevotiki,1,payme,foiz stavka owibdi perevotiki,1
Payme зор илова экан дахшат 👍🏻,5,payme,payme зор илова экан дахшат,-1
ок,5,payme,ок,1
очень удобно,5,payme,очень удобно,1
работает отлично,5,payme,работает отлично,1
zur,5,payme,zur,1
prosta menga juda kerak,5,payme,prosta menga juda kerak,-1
хали энди янгисини обновит килдим яхши ёмонмас.,5,payme,хали энди янгисини обновит килдим яхши ёмонмас,-1
Удобное приложение,5,payme,удобное приложение,1
удобно и быстро,5,payme,удобно и быстро,1
тормозит программа,1,payme,тормозит программа,-1
Очень удобно приложение. Спасибо тому кто придумал,5,payme,очень удобно приложение спасибо тому кто придумал,1
"здравствуйте, за оплату некоторых услуг есть кэшбэк который возвращается, я бы хотела узнать где эти кэшбеки хранятся и как ими воспользоваться.",3,payme,здравствуйте за оплату некоторых услуг есть кэшбэк который возвращается я бы хотела узнать где эти кэшбеки хранятся и как ими воспользоваться,-1
приложения вапше ишламаябди HTTP 403 ошибка бервоти керакли пайта тулов клиб бомаябди...приложения узига криб бомаябди,1,payme,приложения вапше ишламаябди http ошибка бервоти керакли пайта тулов клиб бомаябдиприложения узига криб бомаябди,-1
"здравствуйте почему стало нельзя сделать скриншот в приложениях платежа ? Когда смотрю камунальные и другие оплаты услуг и хочу сделать скриншот,у меня написано нельзя сделать скриншот этой страницы",1,payme,здравствуйте почему стало нельзя сделать скриншот в приложениях платежа когда смотрю камунальные и другие оплаты услуг и хочу сделать скриншоту меня написано нельзя сделать скриншот этой страницы,-1
коммунальные услуги не показывают,1,payme,коммунальные услуги не показывают,-1
"Очень классное приложение для оплаты, но нормальная сумма комисии. а так всё хорошо ;]",5,payme,очень классное приложение для оплаты но нормальная сумма комисии а так всё хорошо,1
👌,5,payme,,1
нормалная приложение,5,payme,нормалная приложение,1
ок,5,payme,ок,1
удобный,5,payme,удобный,1
ажойиб!,5,payme,ажойиб,1
"часто не работает, вхожу в ком.услуги не работает.",3,payme,часто не работает вхожу в комуслуги не работает,-1
ochen xorosho,5,payme,ochen xorosho,1
zoʻr,4,payme,zor,1
я не поняла каким образом с меня сняли 29990 сум?,3,payme,я не поняла каким образом с меня сняли сум,-1
foizi katta,1,payme,foizi katta,1
Не скачивай данное приложение.2 дня не могу пройти проверку НЕ СОВЕТУЮ.,1,payme,не скачивай данное приложение дня не могу пройти проверку не советую,-1
работает отлично.ок.,5,payme,работает отличноок,-1
"Часто оплачиваю несколько платежей сразу, так вот, после оплаты платежа с помощью QR кода кнопка назад сворачивает приложение и нужно вновь заходить с помошью пин кода или отпечатка. Сделайте чтобы возвращался на главный экран приложения.",4,payme,часто оплачиваю несколько платежей сразу так вот после оплаты платежа с помощью qr кода кнопка назад сворачивает приложение и нужно вновь заходить с помошью пин кода или отпечатка сделайте чтобы возвращался на главный экран приложения,-1
Пака нормально,5,payme,пака нормально,1
мой мнения из карти банки не взяли без моего соглашения,5,payme,мой мнения из карти банки не взяли без моего соглашения,-1
приложение начел работать очень медленно и часто тормозит в то время как у аналогичных приложение работает все нормально. это у вас в payme что-то переполнено. приложение обновлен и стоит самая последняя версия.,1,payme,приложение начел работать очень медленно и часто тормозит в то время как у аналогичных приложение работает все нормально это у вас в payme чтото переполнено приложение обновлен и стоит самая последняя версия,-1
почему отчёты не выходят на табло . расходов,5,payme,почему отчёты не выходят на табло расходов,-1
Қулай илова,4,payme,улай илова,1
Ок,5,payme,ок,1
zoʻr,5,payme,zor,1
payme дан норозиман. 450 000 пулимни возврат қилиши керак эди фақат бахона килишти ходимлари. Туширдик банк дан бориб руйхатни чикартиринг деб. 2 марта чикардим менга туширмаган лекин бахона қилиб кайтармади сизлар эхтиёт булинглар. туловни возврат килишда сизга эмас узларига тушар экан. Шунча йиллик ишончимни паймол килишти,1,payme,payme дан норозиман пулимни возврат илиши керак эди фаат бахона килишти ходимлари туширдик банк дан бориб руйхатни чикартиринг деб марта чикардим менга туширмаган лекин бахона илиб кайтармади сизлар эхтиёт булинглар туловни возврат килишда сизга эмас узларига тушар экан шунча йиллик ишончимни паймол килишти,-1
зор,5,payme,зор,1
pay,5,payme,pay,1
inogda Zavisnet i kew baka netu,4,payme,inogda zavisnet i kew baka netu,1
ok,5,payme,ok,1
пока что всё хорошо,5,payme,пока что всё хорошо,1
Здравствуйте ) у меня вопрос почему вы запрашиваете id 🪪 или pinfl вы же вроде не государственное учреждение ?,5,payme,здравствуйте у меня вопрос почему вы запрашиваете id или pinfl вы же вроде не государственное учреждение,-1
ok,5,payme,ok,1
"В новой версии невозможно сделать скриншот экрана ""детали платежа"" в коммунальных услугах. Раньше такая удобная возможность была.",1,payme,в новой версии невозможно сделать скриншот экрана детали платежа в коммунальных услугах раньше такая удобная возможность была,-1
Гап йук,5,payme,гап йук,1
зур,5,payme,зур,1
В последнее время работает приложение плохо. Думаю надо удалить и начать пользоваться другим,2,payme,в последнее время работает приложение плохо думаю надо удалить и начать пользоваться другим,-1
удобно,5,payme,удобно,1
"Из избранных платежей пропала оплата за allplay, а за другие услуги остались. В истории оплаты попытались сохранить в избранное, добавляю визбранное, выходит сообщение что сохранено, но по факту в избранных оплата за allplay по прежнему нет. Попытались сохранить после оплаты и вышло то же самое 'Сохранено', а по факту всё так же отсутсвует",3,payme,из избранных платежей пропала оплата за allplay а за другие услуги остались в истории оплаты попытались сохранить в избранное добавляю визбранное выходит сообщение что сохранено но по факту в избранных оплата за allplay по прежнему нет попытались сохранить после оплаты и вышло то же самое сохранено а по факту всё так же отсутсвует,-1
спосиба,5,payme,спосиба,1
zor,5,payme,zor,1
"Купил новый телефон, решил перевести туда все данные, все программы перешли без проблем, кроме payme. Месяц разборок, тех поддержка отвечает попробуйте через 24 часа, пробую, пишет заявка принята. На этом всё. Пока не исправят, оценку не поменяю.",2,payme,купил новый телефон решил перевести туда все данные все программы перешли без проблем кроме payme месяц разборок тех поддержка отвечает попробуйте через часа пробую пишет заявка принята на этом всё пока не исправят оценку не поменяю,-1
"я значит купила подписку для того чтобы переводить деньги без комиссии, а вы играетесь!! и издеваетесь? это просто игра в угадайку, снимут тебы проценты или нет, я из-за вас столько денег потеряла, и подписку купила и проценты сняли! браво! спасибо! да я лучше другим банком буду пользоватся тбс даже платить не надо за без процентную комиссию. зачемтак делать???",1,payme,я значит купила подписку для того чтобы переводить деньги без комиссии а вы играетесь и издеваетесь это просто игра в угадайку снимут тебы проценты или нет я изза вас столько денег потеряла и подписку купила и проценты сняли браво спасибо да я лучше другим банком буду пользоватся тбс даже платить не надо за без процентную комиссию зачемтак делать,-1
Qachon kim kartamga pul tashagani kòrinmayapti,4,payme,qachon kim kartamga pul tashagani krinmayapti,-1
иногда тормозит,4,payme,иногда тормозит,-1
приложение отличное . только прошу пожалуйста включите функцию отмена авто платежа. нечаянно включила. списывает по два раза. Я разорюсь ато так.,5,payme,приложение отличное только прошу пожалуйста включите функцию отмена авто платежа нечаянно включила списывает по два раза я разорюсь ато так,1
"скатилось в мусорку. кэшбеком можно оплатить только телефон, без процента всего 5 миллионов переводы и конечно же отсрочку уже никогда не вернут, а нам 3 месяца врут про технические работы. я ухожу в другое приложение!",1,payme,скатилось в мусорку кэшбеком можно оплатить только телефон без процента всего миллионов переводы и конечно же отсрочку уже никогда не вернут а нам месяца врут про технические работы я ухожу в другое приложение,-1
Всё история не сохраняется,4,payme,всё история не сохраняется,-1
мне нравится всё работает,5,payme,мне нравится всё работает,1
Спасибо за вашу работу!,5,payme,спасибо за вашу работу,1
супер,5,payme,супер,1
роств супир приложения,5,payme,роств супир приложения,1
нормально работает,5,payme,нормально работает,1
последний время очень плоха,1,payme,последний время очень плоха,1
Приложение очень понравилось. Но очень прошу решить вопрос с отсрочкой платежа: она уже 2-3 месяца не работает по техническим причинам. Отсрочка не слабо так выручала в разных жизненных ситуациях. Очень её не хватает.,5,payme,приложение очень понравилось но очень прошу решить вопрос с отсрочкой платежа она уже месяца не работает по техническим причинам отсрочка не слабо так выручала в разных жизненных ситуациях очень её не хватает,-1
норма,5,payme,норма,1
🥰,5,payme,,1
ааааааатлична,5,payme,ааааааатлична,1
qulayli taraflari zõr,5,payme,qulayli taraflari zr,1
👍👍👍👍👍,5,payme,,1
отличная,5,payme,отличная,1
"почему когда остаток на карте 15 тысяч я не могу оплатить коммуналку или сделать покупку, приложение пишет у вас недостаточно средств на балансе.почему я не могу пользоваться своими деньгами?",2,payme,почему когда остаток на карте тысяч я не могу оплатить коммуналку или сделать покупку приложение пишет у вас недостаточно средств на балансепочему я не могу пользоваться своими деньгами,-1
постоянные сбои приложения,1,payme,постоянные сбои приложения,1
"me+ не работает, т.е. через него не возможно оплатить. другие приложения работают лучше",2,payme,me не работает те через него не возможно оплатить другие приложения работают лучше,-1
ok,5,payme,ok,1
Очень хорошо работает если интернет будет,5,payme,очень хорошо работает если интернет будет,1
"люблю пейми, очень удобный интерфейс... НО! раньше было много стимулирующих призов, меня это реально мотивировало использовать приложение. Сейчас по факту кэшбек который недоступен без Плюса (поэтому выгодно платить в др.приложении). И дорогущий перевод который тоже дорог без Плюса (поэтому использую ""бепуль""). Поэтому оценку снижаю на 4. Желаю не уходить на 2й план.)))",5,payme,люблю пейми очень удобный интерфейс но раньше было много стимулирующих призов меня это реально мотивировало использовать приложение сейчас по факту кэшбек который недоступен без плюса поэтому выгодно платить в дрприложении и дорогущий перевод который тоже дорог без плюса поэтому использую бепуль поэтому оценку снижаю на желаю не уходить на й план,-1
"В коммунальном невидно оплаты с другого приложения, раньше показывали?",5,payme,в коммунальном невидно оплаты с другого приложения раньше показывали,-1
клас,5,payme,клас,1
Zo‘r🥳,5,payme,zor,1
здравствуйте когда добавят кошелек и виса карту онлайн ?,4,payme,здравствуйте когда добавят кошелек и виса карту онлайн,-1
👍👍👍👍👍,5,payme,,1
ең зоны шу,5,payme,е зоны шу,-1
Воййй,5,payme,воййй,1
👍,5,payme,,1
"постоянно выплывает разрешить или включить гео локацию, ну я не хочу гео включать ради того что бы проверять баланс, задал бывает, можно убрать это? убрать просто в настройки или туда где гео нужно, спрашивает пусть только в нужный момент (оплата на месте и прочее) но не на главной странице же. чисто из-за этого меньше стал заходить, чаще клик.",3,payme,постоянно выплывает разрешить или включить гео локацию ну я не хочу гео включать ради того что бы проверять баланс задал бывает можно убрать это убрать просто в настройки или туда где гео нужно спрашивает пусть только в нужный момент оплата на месте и прочее но не на главной странице же чисто изза этого меньше стал заходить чаще клик,-1
Почему убрали функцию снимок экрана-Мой Дом-??? Верните пожалуйста.,4,payme,почему убрали функцию снимок экранамой дом верните пожалуйста,-1
жуда кулай ман учун..,5,payme,жуда кулай ман учун,-1
норм,5,payme,норм,1
"последние время не показывает сумму когда плачу коммунальные услуги, как стоит старая сумма так и стоит,и незнаешь теперь сколько же ушло на электричество или газ и так далее, ТОРМОЗИТ",1,payme,последние время не показывает сумму когда плачу коммунальные услуги как стоит старая сумма так и стоити незнаешь теперь сколько же ушло на электричество или газ и так далее тормозит,-1
класс спасибо,5,payme,класс спасибо,1
zo'r,5,payme,zor,1
super,5,payme,super,1
kommunal xizmatlarni to'lovini almalga oshirish uchun juda qulay ilova,5,payme,kommunal xizmatlarni tolovini almalga oshirish uchun juda qulay ilova,1
Здравствуйте я не как не могу использовать накапившие кежбек как это использовать.,3,payme,здравствуйте я не как не могу использовать накапившие кежбек как это использовать,-1
juda yahshi ilova,5,payme,juda yahshi ilova,1
удобно и понятно.,5,payme,удобно и понятно,1
Yaxshi ishlamaydi har yangi kirganda oq oyna paydo buladi tulovlar qilib bulmaydi har kirganda tilni ugrartishrish kerak xullass 1 emas 2 bahoo,1,payme,yaxshi ishlamaydi har yangi kirganda oq oyna paydo buladi tulovlar qilib bulmaydi har kirganda tilni ugrartishrish kerak xullass emas bahoo,-1
очень хороший приложение,5,payme,очень хороший приложение,1
"вы своевольно списывали 3 месяца деньги за услугу все включено. когда я позвонила в колл центр, меня сделали виноватой и сказали: ""надо было внимательнее читать оферту, там все написано"" и ""все уведомления приходят в приложение надо было заходить и проверять"". вы прекрасно знаете, что 90% пользователей не читают оферту от и до и пользуетесь этим. компания вашего уровня не должна опускаться до такого уровня. а работа с клиентами и колл центр у вас просто отвратительная",1,payme,вы своевольно списывали месяца деньги за услугу все включено когда я позвонила в колл центр меня сделали виноватой и сказали надо было внимательнее читать оферту там все написано и все уведомления приходят в приложение надо было заходить и проверять вы прекрасно знаете что пользователей не читают оферту от и до и пользуетесь этим компания вашего уровня не должна опускаться до такого уровня а работа с клиентами и колл центр у вас просто отвратительная,-1
Ещё бы продумать разделение квитков по оплате гор воды и отопления.,5,payme,ещё бы продумать разделение квитков по оплате гор воды и отопления,1
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,payme,,1
good,5,payme,good,1
удобно,5,payme,удобно,1
ZUR,5,payme,zur,1
Зўр,5,payme,зр,1
nice 👍🏻,5,payme,nice,1
🤮,5,payme,,1
ok,5,payme,ok,1
super,5,payme,super,1
oppoq,5,payme,oppoq,1
zur,5,payme,zur,1
"Всем кто читает искренне советую не скачивать это приложение, потому что они списывают деньги по 20 30 тысяч незаметно, причём каждые 15 20 дней, так что не скачивайте и удалите у кого есть Они не списывают когда на карте по меньше денег, но когда побольше списывают по 28 38 21 чтобы было незаметно.",1,payme,всем кто читает искренне советую не скачивать это приложение потому что они списывают деньги по тысяч незаметно причём каждые дней так что не скачивайте и удалите у кого есть они не списывают когда на карте по меньше денег но когда побольше списывают по чтобы было незаметно,-1
надоели назойливые требования о включении геолокации!,1,payme,надоели назойливые требования о включении геолокации,-1
Задолбали с постоянной просьбой включить геолокацию!,1,payme,задолбали с постоянной просьбой включить геолокацию,1
приложение сворачивается не открывается.,4,payme,приложение сворачивается не открывается,-1
😃,5,payme,,1
👍👍👍,5,payme,,1
👍👍👍🤲,5,payme,,1
ассалому алайкум. после обновления приложения не работает. ошибка какая-то возникла как исправить ошибку?????,1,payme,ассалому алайкум после обновления приложения не работает ошибка какаято возникла как исправить ошибку,-1
нимага ишламаяпти? кирсам отворвотти...,5,payme,нимага ишламаяпти кирсам отворвотти,-1
исправьте пожалуйста у меня как захожу вылетает,1,payme,исправьте пожалуйста у меня как захожу вылетает,-1
сегодня престал работать,2,payme,сегодня престал работать,-1
"Почему нету новой версии 2.84., у меня не выходит? помогите мне илтимос?",5,payme,почему нету новой версии у меня не выходит помогите мне илтимос,-1
